seq,feed_to_engine_ns,decision_ns,total_ns
3905,1104777,42,141
3906,1105057,37,354
3907,1105446,31,130
3908,1105718,108,210
3909,1105993,36,130
3910,1106266,33,121
3911,1106536,32,126
3912,1106707,36,153
3913,1107011,51,157
3914,1107316,43,122
3915,1107587,42,152
3916,1107880,40,209
3917,1108140,39,135
3918,1108419,39,122
3919,1108597,41,136
3920,1108800,33,117
3921,1109075,37,180
3922,1109308,40,165
3923,1109524,49,167
3924,1109840,38,141
3925,1110037,40,181
3926,1110283,34,112
3927,1110558,33,149
3928,1110761,38,169
3929,1111076,35,144
3930,1111269,33,128
3931,1111446,35,118
3932,1111533,33,146
3933,1111829,33,135
3934,1112011,32,114
3935,1112276,34,103
3936,1112442,33,95
3937,1112746,46,135
3938,1112923,36,288
3939,1113256,32,118
3940,1113497,31,114
3941,1113657,188,276
3942,1113981,31,122
3943,1114254,33,123
3944,1114531,32,118
3945,1114694,33,124
3946,1114863,32,104
3947,1115016,32,107
3948,1115167,31,119
3949,1115331,32,166
3950,1115553,32,123
3951,1115821,33,107
3952,1115976,32,110
3953,1116245,33,119
3954,1116415,31,106
3955,1116670,31,135
3956,1116848,32,121
3957,1117016,31,124
3958,1117179,30,112
3959,1117335,31,112
3960,1117488,32,110
3961,1117640,31,103
3962,1117794,30,111
3963,1118052,31,113
3964,1118224,32,130
3965,1118499,35,240
3966,1118783,31,133
3967,1119097,36,133
3968,1119280,31,118
3969,1121183,33,121
3970,1121447,32,175
3971,1121757,40,223
3972,1122029,72,150
3973,1122322,34,122
3974,1122490,32,113
3975,1122764,34,120
3976,1123031,31,134
3977,1123306,31,112
3978,1123563,31,119
3979,1123728,31,111
3980,1123995,36,126
3981,1124164,31,103
3982,1124313,35,139
3983,1124496,30,107
3984,1124646,31,124
3985,1124816,32,121
3986,1124981,31,120
3987,1125154,31,113
3988,1125291,32,111
3989,1125448,31,104
3990,1125698,32,121
3991,1125868,30,112
3992,1126027,30,122
3993,1126196,33,98
3994,1126341,245,2131
3995,1128428,34,137
3996,1128734,33,122
3997,1128997,32,140
3998,1129201,28,83
3999,1129331,33,107
4000,1129478,40,1119
4001,1130645,28,108
4002,1130907,31,129
4003,1131076,28,198
4004,1131315,29,127
4005,1131411,29,148
4006,1131602,29,112
4007,1131765,28,123
4008,1131929,32,123
4009,1132102,32,101
4010,1132246,27,99
4011,1132410,34,119
4012,1132676,31,123
4013,1132950,28,171
4014,1133271,28,128
4015,1133448,28,119
4016,1133613,28,118
4017,1133777,29,229
4018,1134057,28,124
4019,1134326,28,114
4020,1134489,27,124
4021,1134777,28,111
4022,1135036,28,117
4023,1135200,28,129
4024,1135374,29,100
4025,1135523,28,113
4026,1135683,28,112
4027,1135943,27,171
4028,1136159,27,113
4029,1136412,27,106
4030,1136566,28,117
4031,1136730,28,102
4032,1136882,32,232
4033,1137160,31,102
4034,1137421,32,123
4035,1137590,27,126
4036,1137760,71,226
4037,1138037,27,97
4038,1138296,34,104
4039,1138448,29,118
4040,1138615,27,112
4041,1138774,28,98
4042,1138917,27,119
4043,1139086,29,95
4044,1139336,36,128
4045,1139513,31,105
4046,1139661,35,119
4047,1139828,36,120
4048,1139996,36,113
4049,1140146,32,200
4050,1140390,31,122
4051,1140561,35,107
4052,1140734,31,98
4053,1140875,36,122
4054,1141039,35,120
4055,1141203,32,108
4056,1141359,36,118
4057,1141439,36,140
4058,1141611,37,120
4059,1141707,36,118
4060,1141920,36,119
4061,1142189,32,108
4062,1142269,37,126
4063,1142269,31,115
4064,1142253,36,125
4065,1142260,30,115
4066,1142260,129,1453
4067,1143702,34,122
4068,1143799,32,114
4069,1143708,28,157
4070,1143871,27,114
4071,1144046,33,120
4072,1144211,32,125
4073,1144224,28,148
4074,1144378,28,109
4075,1144553,32,121
4076,1144831,28,104
4077,1144939,28,115
4078,1145144,27,115
4079,1145402,28,104
4080,1145556,28,97
4081,1145699,28,111
4082,1145706,28,104
4083,1145905,29,109
4084,1145983,28,119
4085,1146150,33,118
4086,1146137,27,119
4087,1146250,32,119
4088,1146345,32,113
4089,1146447,28,105
